time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
1990-01-01 00:00:00+00:00,5.43,30.02,0.0,0.0,0.0,212.38,0.81,319.0,87660.0
1990-01-01 01:00:00+00:00,4.49,32.01,0.0,0.0,0.0,213.28,0.79,311.0,87620.0
1990-01-01 02:00:00+00:00,3.54,34.01,0.0,0.0,0.0,214.17,0.76,305.0,87560.0
1990-01-01 03:00:00+00:00,2.6,36.0,0.0,0.0,0.0,215.06,0.73,303.0,87550.0
1990-01-01 04:00:00+00:00,1.65,38.0,0.0,0.0,0.0,215.96,0.71,302.0,87500.0
1990-01-01 05:00:00+00:00,0.71,40.0,0.0,0.0,0.0,216.85,0.68,302.0,87520.0
1990-01-01 06:00:00+00:00,-0.24,41.99,0.0,0.0,0.0,217.75,0.65,298.0,87520.0
1990-01-01 07:00:00+00:00,-1.18,43.99,0.0,0.0,0.0,218.64,0.63,294.0,87570.0
1990-01-01 08:00:00+00:00,0.46,33.3,106.0,589.31,31.0,215.95,0.55,298.0,87580.0
1990-01-01 09:00:00+00:00,3.92,25.4,300.0,788.24,62.0,217.3,0.21,290.0,87630.0
1990-01-01 10:00:00+00:00,7.92,20.6,465.0,861.33,84.0,220.05,0.41,159.0,87660.0
1990-01-01 11:00:00+00:00,10.96,17.2,583.0,903.69,96.0,225.85,0.62,172.0,87650.0
1990-01-01 12:00:00+00:00,12.81,14.9,650.0,972.57,81.0,229.7,0.9,194.0,87580.0
1990-01-01 13:00:00+00:00,14.36,12.85,633.0,934.86,93.0,232.8,1.52,194.0,87480.0
1990-01-01 14:00:00+00:00,15.47,11.0,554.0,891.42,93.0,234.75,2.14,193.0,87400.0
1990-01-01 15:00:00+00:00,16.06,9.45,423.0,853.48,75.0,235.7,2.28,196.0,87350.0
1990-01-01 16:00:00+00:00,16.14,9.05,245.0,755.3,51.0,236.85,2.21,198.0,87340.0
1990-01-01 17:00:00+00:00,15.52,9.65,50.0,428.01,18.0,236.1,2.07,191.0,87360.0
1990-01-01 18:00:00+00:00,13.65,11.7,0.0,0.0,0.0,233.6,1.52,196.0,87400.0
1990-01-01 19:00:00+00:00,12.96,13.1,0.0,0.0,0.0,231.25,0.76,217.0,87450.0
1990-01-01 20:00:00+00:00,11.58,16.0,0.0,0.0,0.0,229.9,0.48,277.0,87480.0
1990-01-01 21:00:00+00:00,9.87,21.85,0.0,0.0,0.0,228.55,0.69,301.0,87540.0
1990-01-01 22:00:00+00:00,8.03,26.65,0.0,0.0,0.0,227.6,0.76,308.0,87550.0
1990-01-01 23:00:00+00:00,6.18,33.5,0.0,0.0,0.0,228.75,0.9,311.0,87580.0
1990-01-02 00:00:00+00:00,4.35,42.15,0.0,0.0,0.0,226.4,0.97,309.0,87580.0
