time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
1990-01-01 00:00:00+00:00,8.83,85.6,0.0,0.0,0.0,299.4,1.92,54.0,102270.0
1990-01-01 01:00:00+00:00,8.37,87.85,0.0,0.0,0.0,296.23,1.92,53.0,102180.0
1990-01-01 02:00:00+00:00,7.9,90.1,0.0,0.0,0.0,293.06,1.92,52.0,102120.0
1990-01-01 03:00:00+00:00,7.44,92.34,0.0,0.0,0.0,289.89,1.91,50.0,102110.0
1990-01-01 04:00:00+00:00,6.97,94.59,0.0,0.0,0.0,286.72,1.91,45.0,102100.0
1990-01-01 05:00:00+00:00,6.51,96.83,0.0,0.0,0.0,283.55,1.91,42.0,102090.0
1990-01-01 06:00:00+00:00,6.04,99.08,0.0,0.0,0.0,280.38,1.9,40.0,102120.0
1990-01-01 07:00:00+00:00,5.58,100.0,0.0,0.0,0.0,277.21,1.9,43.0,102190.0
1990-01-01 08:00:00+00:00,6.4,92.35,52.0,378.21,22.0,284.3,1.79,39.0,102250.0
1990-01-01 09:00:00+00:00,8.19,95.8,215.0,664.87,56.0,281.6,1.38,41.0,102290.0
1990-01-01 10:00:00+00:00,10.85,83.0,361.0,785.82,73.0,294.35,1.59,49.0,102330.0
1990-01-01 11:00:00+00:00,12.67,74.7,465.0,852.66,79.0,296.1,1.52,55.0,102330.0
1990-01-01 12:00:00+00:00,14.32,69.75,512.0,872.17,83.0,287.75,1.38,50.0,102260.0
1990-01-01 13:00:00+00:00,15.61,62.85,496.0,853.84,85.0,292.05,1.24,46.0,102160.0
1990-01-01 14:00:00+00:00,16.5,56.6,422.0,805.96,82.0,302.3,1.03,44.0,102110.0
1990-01-01 15:00:00+00:00,16.85,56.6,300.0,727.71,69.0,298.4,0.83,43.0,102080.0
1990-01-01 16:00:00+00:00,16.68,56.6,144.0,570.76,44.0,301.7,0.48,44.0,102120.0
1990-01-01 17:00:00+00:00,15.94,60.65,0.0,0.0,0.0,296.65,0.14,295.0,102140.0
1990-01-01 18:00:00+00:00,14.83,64.95,0.0,0.0,0.0,296.1,0.48,286.0,102150.0
1990-01-01 19:00:00+00:00,13.27,69.55,0.0,0.0,0.0,288.75,0.76,287.0,102150.0
1990-01-01 20:00:00+00:00,12.32,74.6,0.0,0.0,0.0,286.6,0.76,290.0,102160.0
1990-01-01 21:00:00+00:00,11.57,77.3,0.0,0.0,0.0,284.5,0.62,300.0,102160.0
1990-01-01 22:00:00+00:00,10.87,83.0,0.0,0.0,0.0,282.35,0.69,328.0,102200.0
1990-01-01 23:00:00+00:00,10.1,86.0,0.0,0.0,0.0,281.0,0.83,357.0,102190.0
1990-01-02 00:00:00+00:00,9.37,89.1,0.0,0.0,0.0,279.25,0.9,28.0,102180.0
1990-01-02 01:00:00+00:00,7.94,92.4,0.0,0.0,0.0,277.05,1.1,59.0,102110.0
1990-01-02 02:00:00+00:00,6.71,95.8,0.0,0.0,0.0,276.35,1.31,73.0,102070.0
1990-01-02 03:00:00+00:00,5.88,95.8,0.0,0.0,0.0,273.85,1.45,64.0,102070.0
1990-01-02 04:00:00+00:00,5.19,99.4,0.0,0.0,0.0,273.85,1.45,41.0,102050.0
1990-01-02 05:00:00+00:00,4.71,99.4,0.0,0.0,0.0,273.05,1.52,27.0,102060.0
1990-01-02 06:00:00+00:00,4.57,99.4,0.0,0.0,0.0,279.25,1.38,29.0,102100.0
1990-01-02 07:00:00+00:00,4.59,99.4,0.0,0.0,0.0,278.3,1.31,44.0,102180.0
1990-01-02 08:00:00+00:00,4.67,99.4,53.0,404.68,21.0,279.25,1.17,52.0,102220.0
1990-01-02 09:00:00+00:00,6.74,95.8,216.0,673.07,55.0,281.6,0.76,51.0,102250.0
1990-01-02 10:00:00+00:00,10.04,86.0,357.0,757.67,79.0,281.2,0.62,41.0,102320.0
1990-01-02 11:00:00+00:00,12.45,77.45,444.0,734.29,111.0,284.1,0.62,26.0,102320.0
1990-01-02 12:00:00+00:00,14.31,69.75,515.0,882.24,80.0,294.15,0.48,8.0,102270.0
1990-01-02 13:00:00+00:00,15.48,62.85,497.0,853.16,85.0,293.0,0.41,325.0,102180.0
1990-01-02 14:00:00+00:00,16.12,60.75,425.0,816.56,79.0,294.75,0.55,291.0,102110.0
1990-01-02 15:00:00+00:00,16.27,58.6,302.0,729.15,69.0,296.85,0.69,278.0,102080.0
1990-01-02 16:00:00+00:00,16.01,58.6,140.0,495.83,52.0,295.3,0.76,278.0,102100.0
1990-01-02 17:00:00+00:00,15.04,65.05,0.0,0.0,0.0,293.75,0.97,283.0,102130.0
1990-01-02 18:00:00+00:00,12.75,80.3,0.0,0.0,0.0,293.0,1.03,296.0,102160.0
1990-01-02 19:00:00+00:00,10.8,86.05,0.0,0.0,0.0,285.65,1.45,325.0,102180.0
1990-01-02 20:00:00+00:00,9.33,92.45,0.0,0.0,0.0,283.7,1.59,325.0,102220.0
1990-01-02 21:00:00+00:00,8.68,92.4,0.0,0.0,0.0,284.1,1.52,326.0,102240.0
1990-01-02 22:00:00+00:00,8.62,92.4,0.0,0.0,0.0,283.3,1.24,330.0,102270.0
1990-01-02 23:00:00+00:00,9.45,89.15,0.0,0.0,0.0,280.4,0.83,341.0,102300.0
1990-01-03 00:00:00+00:00,8.71,95.85,0.0,0.0,0.0,284.5,0.48,18.0,102270.0
1990-01-03 01:00:00+00:00,7.87,99.4,0.0,0.0,0.0,284.8,0.55,62.0,102210.0
1990-01-03 02:00:00+00:00,7.14,99.4,0.0,0.0,0.0,285.85,0.55,65.0,102170.0
1990-01-03 03:00:00+00:00,6.4,95.8,0.0,0.0,0.0,287.75,0.62,28.0,102200.0
1990-01-03 04:00:00+00:00,5.6,99.4,0.0,0.0,0.0,282.95,0.76,15.0,102220.0
1990-01-03 05:00:00+00:00,5.22,99.4,0.0,0.0,0.0,287.75,0.83,15.0,102230.0
1990-01-03 06:00:00+00:00,5.14,99.4,0.0,0.0,0.0,292.8,0.9,26.0,102260.0
