strategy,strategy_display_name,complexity,location,forecast_error_std,coldstart_count,lost_production_hours,methane_output_kwh,bess_deep_discharge,curtailed_kwh,reactor_warm_fraction_pct,reserve_active_hours
reactive_baseline,1. Reactive Baseline,1,sevilla,0.0,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,0
fixed_reserve,2. Fixed Reserve,1,sevilla,0.0,21,235,436989.86117574794,34,12.262206200094994,44.6689497716895,460
forecast_binary,3. Forecast Binary,2,sevilla,0.0,27,345,433515.7162383445,29,8.719308889587772,44.280821917808225,256
proportional_reserve,4. Proportional Reserve,3,sevilla,0.0,12,127,442096.6980684371,26,0.0,45.25114155251141,607
temperature_based,5. Temperature-Based,4,sevilla,0.0,29,382,433530.02314533363,29,13.279042897706674,44.15525114155251,151
precharge,6. Precharge,3,sevilla,0.0,0,0,427996.1271929851,0,0.0,45.99315068493151,972
rolling_horizon,7. Rolling Horizon,5,sevilla,0.0,0,0,446967.90928294923,1,1.0657589107022076,45.99315068493151,647
reactive_baseline,1. Reactive Baseline,1,sevilla,0.1,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,0
fixed_reserve,2. Fixed Reserve,1,sevilla,0.1,21,235,436989.86117574794,34,12.262206200094994,44.6689497716895,460
forecast_binary,3. Forecast Binary,2,sevilla,0.1,29,413,435507.8953942764,31,16.289907669216696,44.2351598173516,66
proportional_reserve,4. Proportional Reserve,3,sevilla,0.1,26,339,436660.20972154534,41,13.48260224493724,44.39497716894977,468
temperature_based,5. Temperature-Based,4,sevilla,0.1,29,416,435573.421150897,31,16.289907669216696,44.2351598173516,38
precharge,6. Precharge,3,sevilla,0.1,3,33,435253.45078231086,4,0.0,45.83333333333333,708
rolling_horizon,7. Rolling Horizon,5,sevilla,0.1,21,220,437732.62959014997,36,16.15406253572563,44.69178082191781,671
reactive_baseline,1. Reactive Baseline,1,sevilla,0.2,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,0
fixed_reserve,2. Fixed Reserve,1,sevilla,0.2,21,235,436989.86117574794,34,12.262206200094994,44.6689497716895,460
forecast_binary,3. Forecast Binary,2,sevilla,0.2,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,3
proportional_reserve,4. Proportional Reserve,3,sevilla,0.2,25,324,436684.87824149046,38,3.0507422539958995,44.44063926940639,377
temperature_based,5. Temperature-Based,4,sevilla,0.2,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,3
precharge,6. Precharge,3,sevilla,0.2,8,132,439786.4246379198,12,0.9381496219359633,45.47945205479452,355
rolling_horizon,7. Rolling Horizon,5,sevilla,0.2,15,177,440046.55442177295,32,3.9623852570430955,45.02283105022831,552
reactive_baseline,1. Reactive Baseline,1,sevilla,0.4,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,0
fixed_reserve,2. Fixed Reserve,1,sevilla,0.4,21,235,436989.86117574794,34,12.262206200094994,44.6689497716895,460
forecast_binary,3. Forecast Binary,2,sevilla,0.4,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,1
proportional_reserve,4. Proportional Reserve,3,sevilla,0.4,24,336,437378.4315245861,38,14.758185757074372,44.49771689497717,321
temperature_based,5. Temperature-Based,4,sevilla,0.4,29,432,435543.02865877846,28,17.405986209657264,44.21232876712329,0
precharge,6. Precharge,3,sevilla,0.4,27,400,435870.6562143253,28,15.565062145721647,44.30365296803653,56
rolling_horizon,7. Rolling Horizon,5,sevilla,0.4,19,238,438211.49760006584,33,0.21428082556562345,44.74885844748858,490
reactive_baseline,1. Reactive Baseline,1,morocco,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,0
fixed_reserve,2. Fixed Reserve,1,morocco,0.0,0,0,487576.42370347027,0,0.0,46.57534246575342,19
forecast_binary,3. Forecast Binary,2,morocco,0.0,0,0,488103.01100544335,0,0.0,46.57534246575342,40
proportional_reserve,4. Proportional Reserve,3,morocco,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,20
temperature_based,5. Temperature-Based,4,morocco,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,11
precharge,6. Precharge,3,morocco,0.0,0,0,484306.5761147321,0,0.0,46.57534246575342,160
rolling_horizon,7. Rolling Horizon,5,morocco,0.0,0,0,488012.0550449982,0,0.0,46.57534246575342,50
reactive_baseline,1. Reactive Baseline,1,morocco,0.1,0,0,488186.1281162812,0,0.0,46.57534246575342,0
fixed_reserve,2. Fixed Reserve,1,morocco,0.1,0,0,487576.42370347027,0,0.0,46.57534246575342,19
forecast_binary,3. Forecast Binary,2,morocco,0.1,0,0,488186.1281162812,0,0.0,46.57534246575342,1
proportional_reserve,4. Proportional Reserve,3,morocco,0.1,0,0,488100.63123231527,0,0.0,46.57534246575342,8
temperature_based,5. Temperature-Based,4,morocco,0.1,0,0,488186.1281162812,0,0.0,46.57534246575342,0
precharge,6. Precharge,3,morocco,0.1,0,0,486160.79594619316,0,0.0,46.57534246575342,123
rolling_horizon,7. Rolling Horizon,5,morocco,0.1,0,0,487972.7191995461,0,0.0,46.57534246575342,38
reactive_baseline,1. Reactive Baseline,1,morocco,0.2,0,0,488186.1281162812,0,0.0,46.57534246575342,0
fixed_reserve,2. Fixed Reserve,1,morocco,0.2,0,0,487576.42370347027,0,0.0,46.57534246575342,19
forecast_binary,3. Forecast Binary,2,morocco,0.2,0,0,488129.6555697591,0,0.0,46.57534246575342,4
proportional_reserve,4. Proportional Reserve,3,morocco,0.2,0,0,488040.04524318245,0,0.0,46.57534246575342,6
temperature_based,5. Temperature-Based,4,morocco,0.2,0,0,488186.1281162812,0,0.0,46.57534246575342,0
precharge,6. Precharge,3,morocco,0.2,0,0,487733.2785260294,0,0.0,46.57534246575342,45
rolling_horizon,7. Rolling Horizon,5,morocco,0.2,0,0,487803.7393765323,0,0.0,46.57534246575342,40
reactive_baseline,1. Reactive Baseline,1,morocco,0.4,0,0,488186.1281162812,0,0.0,46.57534246575342,0
fixed_reserve,2. Fixed Reserve,1,morocco,0.4,0,0,487576.42370347027,0,0.0,46.57534246575342,19
forecast_binary,3. Forecast Binary,2,morocco,0.4,0,0,488186.1281162812,0,0.0,46.57534246575342,2
proportional_reserve,4. Proportional Reserve,3,morocco,0.4,0,0,488005.95370160736,0,0.0,46.57534246575342,4
temperature_based,5. Temperature-Based,4,morocco,0.4,0,0,488186.1281162812,0,0.0,46.57534246575342,0
precharge,6. Precharge,3,morocco,0.4,0,0,488186.1281162812,0,0.0,46.57534246575342,2
rolling_horizon,7. Rolling Horizon,5,morocco,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,19
reactive_baseline,1. Reactive Baseline,1,scotland,0.0,230,4297,193739.48294110267,171,179.25253336517576,27.671232876712327,0
fixed_reserve,2. Fixed Reserve,1,scotland,0.0,180,2784,207449.18280299418,248,133.23699416670655,31.289954337899545,3951
forecast_binary,3. Forecast Binary,2,scotland,0.0,232,3973,191898.0995935913,229,226.77153055046372,28.25342465753425,1984
proportional_reserve,4. Proportional Reserve,3,scotland,0.0,141,2317,218122.34212074307,200,96.5683112291368,33.778538812785385,4410
temperature_based,5. Temperature-Based,4,scotland,0.0,231,3973,191933.08586247292,230,204.0055179105112,28.242009132420094,1959
precharge,6. Precharge,3,scotland,0.0,66,1303,197881.57261327642,80,67.54132742152194,37.945205479452056,4705
rolling_horizon,7. Rolling Horizon,5,scotland,0.0,100,1824,232714.75204801082,122,59.699281669819584,36.02739726027397,4501
reactive_baseline,1. Reactive Baseline,1,scotland,0.1,230,4297,193739.48294110267,171,179.25253336517576,27.671232876712327,0
fixed_reserve,2. Fixed Reserve,1,scotland,0.1,180,2784,207449.18280299418,248,133.23699416670655,31.289954337899545,3951
forecast_binary,3. Forecast Binary,2,scotland,0.1,234,4266,194024.72420676475,191,147.50703660708172,27.705479452054792,625
proportional_reserve,4. Proportional Reserve,3,scotland,0.1,222,3557,191706.7010291671,299,107.28433682908263,28.504566210045663,4394
temperature_based,5. Temperature-Based,4,scotland,0.1,234,4266,194024.72420676475,191,147.50703660708172,27.705479452054792,614
precharge,6. Precharge,3,scotland,0.1,109,2011,215003.06665797383,132,79.75318296461222,35.38812785388128,3666
rolling_horizon,7. Rolling Horizon,5,scotland,0.1,160,2593,214432.13457606584,243,113.01096903256001,32.62557077625571,4463
reactive_baseline,1. Reactive Baseline,1,scotland,0.2,230,4297,193739.48294110267,171,179.25253336517576,27.671232876712327,0
fixed_reserve,2. Fixed Reserve,1,scotland,0.2,180,2784,207449.18280299418,248,133.23699416670655,31.289954337899545,3951
forecast_binary,3. Forecast Binary,2,scotland,0.2,232,4299,193537.16243332738,173,165.97982027239175,27.64840182648402,48
proportional_reserve,4. Proportional Reserve,3,scotland,0.2,218,3679,197185.0285705345,272,178.28618708827244,28.82420091324201,3734
temperature_based,5. Temperature-Based,4,scotland,0.2,232,4299,193537.16243332738,173,165.97982027239175,27.64840182648402,48
precharge,6. Precharge,3,scotland,0.2,188,3305,197504.56712223904,183,86.5958387086968,30.445205479452053,2190
rolling_horizon,7. Rolling Horizon,5,scotland,0.2,168,2700,213280.339666132,227,155.20328433393206,32.24885844748858,4132
reactive_baseline,1. Reactive Baseline,1,scotland,0.4,230,4297,193739.48294110267,171,179.25253336517576,27.671232876712327,0
fixed_reserve,2. Fixed Reserve,1,scotland,0.4,180,2784,207449.18280299418,248,133.23699416670655,31.289954337899545,3951
forecast_binary,3. Forecast Binary,2,scotland,0.4,230,4297,193739.48294110267,171,179.25253336517576,27.671232876712327,1
proportional_reserve,4. Proportional Reserve,3,scotland,0.4,213,3513,197220.63833936508,269,196.7001799776563,29.30365296803653,2980
temperature_based,5. Temperature-Based,4,scotland,0.4,230,4297,193739.48294110267,171,179.25253336517576,27.671232876712327,0
precharge,6. Precharge,3,scotland,0.4,229,4189,193051.20739050527,180,204.00508208492124,27.705479452054792,297
rolling_horizon,7. Rolling Horizon,5,scotland,0.4,165,2704,214355.90667724432,227,128.67535515949302,32.37442922374429,3653
