location,threshold_hours,reserve_fraction,forecast_error_std,coldstart_count,lost_production_hours,methane_output_kwh,bess_deep_discharge,curtailed_kwh,reactor_warm_fraction_pct,reserve_active_hours
sevilla,12,0.1,0.0,25,258,435856.17815982393,41,6.07403419734209,44.42922374429224,642
sevilla,12,0.15,0.0,17,163,439347.47432650294,38,7.16894839447253,44.954337899543376,740
sevilla,12,0.2,0.0,9,96,443454.9067484286,24,3.007260471396542,45.445205479452056,735
sevilla,12,0.25,0.0,7,78,444254.21704847366,14,5.4494104040290665,45.54794520547945,747
sevilla,12,0.3,0.0,1,12,445957.144938515,4,0.0,45.93607305936073,780
sevilla,12,0.4,0.0,1,8,445112.39485892357,1,0.0,45.93607305936073,854
sevilla,24,0.1,0.0,12,127,442096.6980684371,26,0.0,45.25114155251141,607
sevilla,24,0.15,0.0,6,63,444920.42943979095,15,18.48383466174586,45.62785388127854,652
sevilla,24,0.2,0.0,1,8,446541.5102631164,3,0.0,45.93607305936073,659
sevilla,24,0.25,0.0,0,0,446967.90928294923,1,1.0657589107022076,45.99315068493151,647
sevilla,24,0.3,0.0,0,0,446635.1722842562,1,0.0,45.99315068493151,729
sevilla,24,0.4,0.0,0,0,444755.15524267487,0,0.0,45.99315068493151,761
sevilla,36,0.1,0.0,11,110,442401.9767932252,22,0.0,45.30821917808219,607
sevilla,36,0.15,0.0,4,37,445879.9263304378,10,0.0,45.742009132420094,625
sevilla,36,0.2,0.0,0,0,447170.24628211383,2,0.0,45.99315068493151,625
sevilla,36,0.25,0.0,0,0,446812.6098262458,0,0.0,45.99315068493151,663
sevilla,36,0.3,0.0,0,0,446400.805338661,0,0.0,45.99315068493151,766
sevilla,36,0.4,0.0,0,0,444523.9419621424,0,0.0,45.99315068493151,810
sevilla,48,0.1,0.0,9,75,442388.81627214764,18,0.0,45.445205479452056,594
sevilla,48,0.15,0.0,1,6,446906.48714533326,8,0.0,45.93607305936073,591
sevilla,48,0.2,0.0,0,0,446971.0312570464,2,0.0,45.99315068493151,621
sevilla,48,0.25,0.0,0,0,446625.22704759915,0,0.0,45.99315068493151,664
sevilla,48,0.3,0.0,0,0,446328.9222510005,0,0.0,45.99315068493151,760
sevilla,48,0.4,0.0,0,0,444173.22351262375,0,0.0,45.99315068493151,825
sevilla,72,0.1,0.0,9,75,442388.81627214764,18,0.0,45.445205479452056,603
sevilla,72,0.15,0.0,1,6,446991.5586505673,8,0.0,45.93607305936073,604
sevilla,72,0.2,0.0,0,0,446974.95662166213,2,0.0,45.99315068493151,632
sevilla,72,0.25,0.0,0,0,446634.8853517001,0,0.0,45.99315068493151,670
sevilla,72,0.3,0.0,0,0,446213.1380241777,0,0.0,45.99315068493151,751
sevilla,72,0.4,0.0,0,0,444022.41452993976,0,0.0,45.99315068493151,826
sevilla,12,0.1,0.1,26,335,436937.256056942,42,23.966535561346895,44.417808219178085,460
sevilla,12,0.15,0.1,28,341,435317.4539736335,49,6.282069382334683,44.24657534246575,585
sevilla,12,0.2,0.1,30,317,433192.3959070413,44,6.657689615621038,44.166666666666664,680
sevilla,12,0.25,0.1,22,239,437719.3505635328,40,1.1597632244023544,44.63470319634703,664
sevilla,12,0.3,0.1,13,137,441641.4685820886,27,1.1990630908342936,45.21689497716895,660
sevilla,12,0.4,0.1,5,39,443144.13133242505,11,0.0,45.70776255707762,761
sevilla,24,0.1,0.1,26,339,436660.20972154534,41,13.48260224493724,44.39497716894977,468
sevilla,24,0.15,0.1,24,294,437672.8077589917,44,4.1694693699108,44.52054794520548,544
sevilla,24,0.2,0.1,28,294,434015.57406663895,44,7.108339836104818,44.269406392694066,678
sevilla,24,0.25,0.1,21,220,437732.62959014997,36,16.15406253572563,44.69178082191781,671
sevilla,24,0.3,0.1,11,122,442403.49406213313,26,1.1990630908342936,45.3310502283105,633
sevilla,24,0.4,0.1,4,33,443778.3371860305,11,0.0,45.764840182648406,772
sevilla,36,0.1,0.1,26,339,436660.20972154534,41,13.48260224493724,44.39497716894977,468
sevilla,36,0.15,0.1,24,294,437672.8077589917,44,4.1694693699108,44.52054794520548,546
sevilla,36,0.2,0.1,28,294,434015.57406663895,44,7.108339836104818,44.269406392694066,682
sevilla,36,0.25,0.1,21,220,437732.62959014997,36,16.15406253572563,44.69178082191781,671
sevilla,36,0.3,0.1,11,122,442403.49406213313,26,1.1990630908342936,45.3310502283105,633
sevilla,36,0.4,0.1,4,33,443778.3371860305,11,0.0,45.764840182648406,776
sevilla,48,0.1,0.1,26,339,436660.20972154534,41,13.48260224493724,44.39497716894977,468
sevilla,48,0.15,0.1,24,294,437672.8077589917,44,4.1694693699108,44.52054794520548,546
sevilla,48,0.2,0.1,28,294,434015.57406663895,44,7.108339836104818,44.269406392694066,682
sevilla,48,0.25,0.1,21,220,437732.62959014997,36,16.15406253572563,44.69178082191781,671
sevilla,48,0.3,0.1,11,122,442403.49406213313,26,1.1990630908342936,45.3310502283105,633
sevilla,48,0.4,0.1,4,33,443778.3371860305,11,0.0,45.764840182648406,776
sevilla,72,0.1,0.1,26,339,436660.20972154534,41,13.48260224493724,44.39497716894977,468
sevilla,72,0.15,0.1,24,294,437672.8077589917,44,4.1694693699108,44.52054794520548,546
sevilla,72,0.2,0.1,28,294,434015.57406663895,44,7.108339836104818,44.269406392694066,682
sevilla,72,0.25,0.1,21,220,437732.62959014997,36,16.15406253572563,44.69178082191781,671
sevilla,72,0.3,0.1,11,122,442403.49406213313,26,1.1990630908342936,45.3310502283105,633
sevilla,72,0.4,0.1,4,33,443778.3371860305,11,0.0,45.764840182648406,776
sevilla,12,0.1,0.2,26,332,436307.1087000074,39,3.0507422539958995,44.37214611872146,380
sevilla,12,0.15,0.2,23,284,437041.715968962,37,9.258465087838282,44.554794520547944,435
sevilla,12,0.2,0.2,27,300,435091.23334139015,40,18.75547105413515,44.337899543378995,559
sevilla,12,0.25,0.2,15,176,440058.70700888144,33,3.9623852570430955,45.02283105022831,554
sevilla,12,0.3,0.2,12,145,440854.00873664743,28,19.09153229667779,45.182648401826484,596
sevilla,12,0.4,0.2,4,40,442980.01092661207,10,0.0,45.742009132420094,643
sevilla,24,0.1,0.2,25,324,436684.87824149046,38,3.0507422539958995,44.44063926940639,377
sevilla,24,0.15,0.2,23,283,437041.715968962,37,9.258465087838282,44.554794520547944,434
sevilla,24,0.2,0.2,24,266,436506.4862558113,38,14.163178103749814,44.509132420091326,535
sevilla,24,0.25,0.2,15,177,440046.55442177295,32,3.9623852570430955,45.02283105022831,552
sevilla,24,0.3,0.2,13,152,440102.75609186204,29,19.09153229667779,45.114155251141554,613
sevilla,24,0.4,0.2,4,40,442813.86518421373,10,0.0,45.742009132420094,641
sevilla,36,0.1,0.2,25,324,436684.87824149046,38,3.0507422539958995,44.44063926940639,377
sevilla,36,0.15,0.2,23,283,437041.715968962,37,9.258465087838282,44.554794520547944,434
sevilla,36,0.2,0.2,24,266,436506.4862558113,38,14.163178103749814,44.509132420091326,536
